step,loss,loss/mean,loss/std,lr,momentum
1,0.11141337454319,0.11141337454319,0.13123664203170246,0.001,0.9
2,0.031000057235360146,0.031000057235360146,0.01501898040785378,0.001,0.9
3,0.021224599331617355,0.021224599331617355,0.011914046529263448,0.001,0.9
4,0.017315413802862167,0.017315413802862167,0.011145660116880238,0.001,0.9
5,0.015784060582518578,0.015784060582518578,0.012006337239164649,0.001,0.9
6,0.014799164608120918,0.014799164608120918,0.012593973044127635,0.001,0.9
7,0.013497844338417053,0.013497844338417053,0.010322759391398451,0.001,0.9
8,0.012534050270915031,0.012534050270915031,0.010981656895258098,0.001,0.9
9,0.011638338677585125,0.011638338677585125,0.010510354854979666,0.001,0.9
10,0.013072104193270206,0.013072104193270206,0.012249324590992313,0.001,0.9
11,0.011561940424144268,0.011561940424144268,0.011401861266186891,0.001,0.9
12,0.011611001566052437,0.011611001566052437,0.014701514932659197,0.001,0.9
13,0.010766606777906418,0.010766606777906418,0.010437562289315666,0.001,0.9
14,0.011171112768352032,0.011171112768352032,0.011556920337320626,0.001,0.9
15,0.009730197489261627,0.009730197489261627,0.010116921178870674,0.001,0.9
16,0.010123024694621563,0.010123024694621563,0.012361378082549185,0.001,0.9
17,0.009354328736662865,0.009354328736662865,0.010276118603479378,0.001,0.9
18,0.009537981823086739,0.009537981823086739,0.010896581501519554,0.001,0.9
19,0.010524027980864048,0.010524027980864048,0.012471958988854791,0.001,0.9
20,0.00899337138980627,0.00899337138980627,0.009822616602588678,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.11442123353481293,0.11442123353481293,0.12975517463170214,0.001,0.9
2,0.033619076013565063,0.033619076013565063,0.016986008087911418,0.001,0.9
3,0.023154109716415405,0.023154109716415405,0.013475482671771016,0.001,0.9
4,0.019152825698256493,0.019152825698256493,0.011576446445477128,0.001,0.9
5,0.017557773739099503,0.017557773739099503,0.011563738579822415,0.001,0.9
6,0.015480943024158478,0.015480943024158478,0.011409972000145114,0.001,0.9
7,0.0148322070017457,0.0148322070017457,0.011593553009800686,0.001,0.9
