step,loss,loss/mean,loss/std,lr,momentum
1,0.009824615903198719,0.009824615903198719,0.010323575238365842,0.002,0.9
2,0.003770277136936784,0.003770277136936784,0.000613792867415655,0.002,0.9
3,0.0030602149199694395,0.0030602149199694395,0.00043835629840759566,0.002,0.9
4,0.0027008322067558765,0.0027008322067558765,0.0003699977857056174,0.002,0.9
5,0.002464364282786846,0.002464364282786846,0.00035640535555923566,0.002,0.9
6,0.002344792243093252,0.002344792243093252,0.0003376257445437973,0.002,0.9
7,0.0021838988177478313,0.0021838988177478313,0.00029949059008911025,0.002,0.9
8,0.0021398114040493965,0.0021398114040493965,0.00028654149459719774,0.002,0.9
9,0.00204887124709785,0.00204887124709785,0.0002716234826854154,0.002,0.9
10,0.0020019307266920805,0.0020019307266920805,0.000270169772127012,0.002,0.9
11,0.00194387580268085,0.00194387580268085,0.0002681439407650089,0.002,0.9
12,0.0019039486069232225,0.0019039486069232225,0.000275611545237723,0.002,0.9
13,0.0018600324401631951,0.0018600324401631951,0.0002672727796219967,0.002,0.9
14,0.0018246779218316078,0.0018246779218316078,0.00024962811390183816,0.002,0.9
15,0.0017987595638260245,0.0017987595638260245,0.0002493702528084858,0.002,0.9
16,0.001755263889208436,0.001755263889208436,0.0002401987494554972,0.002,0.9
17,0.0017202383605763316,0.0017202383605763316,0.00023223164924110338,0.002,0.9
18,0.0017195907421410084,0.0017195907421410084,0.00022674459840325647,0.002,0.9
19,0.0016957622719928622,0.0016957622719928622,0.00022297187826973437,0.002,0.9
20,0.0016752277733758092,0.0016752277733758092,0.0002258917435514485,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.009824615903198719,0.009824615903198719,0.010323575238365842,0.002,0.9
2,0.003770277136936784,0.003770277136936784,0.000613792867415655,0.002,0.9
3,0.0030602149199694395,0.0030602149199694395,0.00043835629840759566,0.002,0.9
4,0.0027008322067558765,0.0027008322067558765,0.0003699977857056174,0.002,0.9
5,0.002464364282786846,0.002464364282786846,0.00035640535555923566,0.002,0.9
6,0.002344792243093252,0.002344792243093252,0.0003376257445437973,0.002,0.9
7,0.0021838988177478313,0.0021838988177478313,0.00029949059008911025,0.002,0.9
8,0.0021398114040493965,0.0021398114040493965,0.00028654149459719774,0.002,0.9
9,0.00204887124709785,0.00204887124709785,0.0002716234826854154,0.002,0.9
10,0.0020019307266920805,0.0020019307266920805,0.000270169772127012,0.002,0.9
11,0.00194387580268085,0.00194387580268085,0.0002681439407650089,0.002,0.9
12,0.0019039486069232225,0.0019039486069232225,0.000275611545237723,0.002,0.9
13,0.0018600324401631951,0.0018600324401631951,0.0002672727796219967,0.002,0.9
14,0.0018246779218316078,0.0018246779218316078,0.00024962811390183816,0.002,0.9
15,0.0017987595638260245,0.0017987595638260245,0.0002493702528084858,0.002,0.9
16,0.001755263889208436,0.001755263889208436,0.0002401987494554972,0.002,0.9
17,0.0017202383605763316,0.0017202383605763316,0.00023223164924110338,0.002,0.9
18,0.0017195907421410084,0.0017195907421410084,0.00022674459840325647,0.002,0.9
19,0.0016957622719928622,0.0016957622719928622,0.00022297187826973437,0.002,0.9
20,0.0016752277733758092,0.0016752277733758092,0.0002258917435514485,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.01241624541580677,0.01241624541580677,0.011747343609264606,0.001,0.9
2,0.00453190878033638,0.00453190878033638,0.0007566168286558137,0.001,0.9
3,0.003502846462652087,0.003502846462652087,0.0005007474801245009,0.001,0.9
4,0.0030335555784404278,0.0030335555784404278,0.00042532414875571313,0.001,0.9
5,0.0027532726526260376,0.0027532726526260376,0.0004159332824149602,0.001,0.9
6,0.0025770338252186775,0.0025770338252186775,0.0003678447739793549,0.001,0.9
7,0.0024128153454512358,0.0024128153454512358,0.000333690427242624,0.001,0.9
8,0.0022888178937137127,0.0022888178937137127,0.0003095196207975468,0.001,0.9
9,0.0022236162330955267,0.0022236162330955267,0.000308519705598632,0.001,0.9
10,0.002125175204128027,0.002125175204128027,0.00028908070152201473,0.001,0.9
11,0.002050852868705988,0.002050852868705988,0.0002898138678326273,0.001,0.9
12,0.0019978457130491734,0.0019978457130491734,0.00029170000656049687,0.001,0.9
13,0.001948129734955728,0.001948129734955728,0.000290838773173423,0.001,0.9
14,0.0019055468728765845,0.0019055468728765845,0.00026428907952359535,0.001,0.9
15,0.0018690105061978102,0.0018690105061978102,0.000264941776636058,0.001,0.9
16,0.001805931213311851,0.001805931213311851,0.00024509400715492076,0.001,0.9
17,0.0018008488696068525,0.0018008488696068525,0.0002452612449797209,0.001,0.9
18,0.0017579381819814444,0.0017579381819814444,0.00023142713989146598,0.001,0.9
19,0.0017183960881084204,0.0017183960881084204,0.00024069741735468727,0.001,0.9
20,0.0016942934598773718,0.0016942934598773718,0.00023465845985600189,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.01241624541580677,0.01241624541580677,0.011747343609264606,0.001,0.9
2,0.00453190878033638,0.00453190878033638,0.0007566168286558137,0.001,0.9
3,0.003502846462652087,0.003502846462652087,0.0005007474801245009,0.001,0.9
4,0.0030335555784404278,0.0030335555784404278,0.00042532414875571313,0.001,0.9
5,0.0027532726526260376,0.0027532726526260376,0.0004159332824149602,0.001,0.9
6,0.0025770338252186775,0.0025770338252186775,0.0003678447739793549,0.001,0.9
7,0.0024128153454512358,0.0024128153454512358,0.000333690427242624,0.001,0.9
8,0.0022888178937137127,0.0022888178937137127,0.0003095196207975468,0.001,0.9
9,0.0022236162330955267,0.0022236162330955267,0.000308519705598632,0.001,0.9
10,0.002125175204128027,0.002125175204128027,0.00028908070152201473,0.001,0.9
11,0.002050852868705988,0.002050852868705988,0.0002898138678326273,0.001,0.9
12,0.0019978457130491734,0.0019978457130491734,0.00029170000656049687,0.001,0.9
13,0.001948129734955728,0.001948129734955728,0.000290838773173423,0.001,0.9
14,0.0019055468728765845,0.0019055468728765845,0.00026428907952359535,0.001,0.9
15,0.0018690105061978102,0.0018690105061978102,0.000264941776636058,0.001,0.9
16,0.001805931213311851,0.001805931213311851,0.00024509400715492076,0.001,0.9
17,0.0018008488696068525,0.0018008488696068525,0.0002452612449797209,0.001,0.9
18,0.0017579381819814444,0.0017579381819814444,0.00023142713989146598,0.001,0.9
19,0.0017183960881084204,0.0017183960881084204,0.00024069741735468727,0.001,0.9
20,0.0016942934598773718,0.0016942934598773718,0.00023465845985600189,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
