step,loss,loss/mean,loss/std,lr,momentum
1,0.002180672949180007,0.002180672949180007,0.017781649906679336,0.001,0.9
2,8.39969507069327e-05,8.39969507069327e-05,4.5384868288592506e-05,0.001,0.9
3,5.8971876569557935e-05,5.8971876569557935e-05,3.488323617826987e-05,0.001,0.9
4,6.269602454267442e-05,6.269602454267442e-05,5.804826291634162e-05,0.001,0.9
5,3.967612065025605e-05,3.967612065025605e-05,2.304449513148394e-05,0.001,0.9
6,4.575386265059933e-05,4.575386265059933e-05,3.216502751234791e-05,0.001,0.9
7,4.0259426896227524e-05,4.0259426896227524e-05,2.5704042499635416e-05,0.001,0.9
8,3.9284372178371996e-05,3.9284372178371996e-05,2.1490718467903246e-05,0.001,0.9
9,3.887991624651477e-05,3.887991624651477e-05,2.125521635095118e-05,0.001,0.9
10,4.0912731492426246e-05,4.0912731492426246e-05,2.629539049276167e-05,0.001,0.9
11,3.0509096177411266e-05,3.0509096177411266e-05,1.847470957354799e-05,0.001,0.9
12,3.787732566706836e-05,3.787732566706836e-05,2.7753893284559766e-05,0.001,0.9
13,3.0307535780593753e-05,3.0307535780593753e-05,1.522280654633616e-05,0.001,0.9
14,2.7548132493393496e-05,2.7548132493393496e-05,1.81125491080335e-05,0.001,0.9
15,2.8439209927455522e-05,2.8439209927455522e-05,1.5493961339082137e-05,0.001,0.9
16,3.058492438867688e-05,3.058492438867688e-05,1.7882610109009913e-05,0.001,0.9
17,2.7917920306208543e-05,2.7917920306208543e-05,1.775708465015617e-05,0.001,0.9
18,2.377582495682873e-05,2.377582495682873e-05,1.5099050975008e-05,0.001,0.9
19,2.755111563601531e-05,2.755111563601531e-05,1.5198133514967443e-05,0.001,0.9
20,2.353360650886316e-05,2.353360650886316e-05,1.292560652535296e-05,0.001,0.9
