step,loss,loss/mean,loss/std,lr,momentum
1,0.03270202875137329,0.03270202875137329,0.06089539713648252,0.0001,0.9
2,0.006781032308936119,0.006781032308936119,0.0027979068478460297,0.0001,0.9
3,0.004505263175815344,0.004505263175815344,0.002264992038936475,0.0001,0.9
4,0.003417287953197956,0.003417287953197956,0.0017728671936212811,0.0001,0.9
5,0.0027679784689098597,0.0027679784689098597,0.0016405373965656998,0.0001,0.9
6,0.0023036610800772905,0.0023036610800772905,0.0014288500018169695,0.0001,0.9
7,0.0019499901682138443,0.0019499901682138443,0.0012873563532483287,0.0001,0.9
8,0.0016552311135455966,0.0016552311135455966,0.0011411669682151163,0.0001,0.9
9,0.0014151332434266806,0.0014151332434266806,0.0010045100946813993,0.0001,0.9
10,0.0012514936970546842,0.0012514936970546842,0.0008842394028448297,0.0001,0.9
11,0.0011038649827241898,0.0011038649827241898,0.0007819126022853901,0.0001,0.9
12,0.0009712218889035285,0.0009712218889035285,0.0007402488720461176,0.0001,0.9
13,0.0008673848933540285,0.0008673848933540285,0.0007148234363922388,0.0001,0.9
14,0.0007893817964941263,0.0007893817964941263,0.000623966218173644,0.0001,0.9
15,0.0007145533454604447,0.0007145533454604447,0.0005793029194930222,0.0001,0.9
16,0.0006330343312583864,0.0006330343312583864,0.0005856267509454282,0.0001,0.9
17,0.0005889146705158055,0.0005889146705158055,0.0004923535621294675,0.0001,0.9
18,0.0005283147911541164,0.0005283147911541164,0.0004772029830072311,0.0001,0.9
19,0.00048449283349327743,0.00048449283349327743,0.00045127068517686634,0.0001,0.9
20,0.0004392870469018817,0.0004392870469018817,0.00044207263844184394,0.0001,0.9
