step,loss,loss/mean,loss/std,lr,momentum
1,0.0283960048109293,0.0283960048109293,0.04891881730054963,0.001,0.9
2,0.006915361154824495,0.006915361154824495,0.001438424963989654,0.001,0.9
3,0.004444688092917204,0.004444688092917204,0.0008188382293422198,0.001,0.9
4,0.00330000976100564,0.00330000976100564,0.0005523456452569895,0.001,0.9
5,0.002717796480283141,0.002717796480283141,0.0004776116095772842,0.001,0.9
6,0.0023123477585613728,0.0023123477585613728,0.0004166339904940653,0.001,0.9
7,0.001929835299961269,0.001929835299961269,0.00032784137919139475,0.001,0.9
8,0.001904727309010923,0.001904727309010923,0.00041583694455078724,0.001,0.9
9,0.00162820378318429,0.00162820378318429,0.000243354609627558,0.001,0.9
10,0.0014990509953349829,0.0014990509953349829,0.00024937099583531303,0.001,0.9
11,0.0013789902441203594,0.0013789902441203594,0.0002341113818451732,0.001,0.9
12,0.0013557982165366411,0.0013557982165366411,0.0002559146610966452,0.001,0.9
13,0.0012398641556501389,0.0012398641556501389,0.00020513115508549002,0.001,0.9
14,0.0011663624318316579,0.0011663624318316579,0.00021852674779216866,0.001,0.9
15,0.0011457190848886967,0.0011457190848886967,0.00017508683950997217,0.001,0.9
16,0.0010570837184786797,0.0010570837184786797,0.00018586536560591225,0.001,0.9
17,0.0009815924568101764,0.0009815924568101764,0.00017014698431802429,0.001,0.9
18,0.0009846382308751345,0.0009846382308751345,0.0001687617908098264,0.001,0.9
19,0.0009159682667814195,0.0009159682667814195,0.00016108107064823212,0.001,0.9
20,0.0009003048180602491,0.0009003048180602491,0.0001682243226691912,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.06709235906600952,0.06709235906600952,0.08585877338069425,0.001,0.9
2,0.01626271940767765,0.01626271940767765,0.00280631334420847,0.001,0.9
3,0.010797476395964622,0.010797476395964622,0.0018132990387630438,0.001,0.9
4,0.008012305945158005,0.008012305945158005,0.0009707822130825128,0.001,0.9
5,0.006703596096485853,0.006703596096485853,0.0008345131480965126,0.001,0.9
6,0.005927702412009239,0.005927702412009239,0.000823095782213191,0.001,0.9
7,0.0051016369834542274,0.0051016369834542274,0.000675745567167136,0.001,0.9
8,0.004601926077157259,0.004601926077157259,0.0006032979707494776,0.001,0.9
9,0.004205572418868542,0.004205572418868542,0.0005722765224727045,0.001,0.9
10,0.003811158239841461,0.003811158239841461,0.000591902211416541,0.001,0.9
11,0.003861568868160248,0.003861568868160248,0.0006001352713243155,0.001,0.9
12,0.0035247737541794777,0.0035247737541794777,0.000600021005358048,0.001,0.9
13,0.0031974280718714,0.0031974280718714,0.0004545554923268043,0.001,0.9
14,0.0029222650919109583,0.0029222650919109583,0.00043343269520246193,0.001,0.9
15,0.0028624744154512882,0.0028624744154512882,0.0005969547008296544,0.001,0.9
16,0.002662621671333909,0.002662621671333909,0.00037948751337196665,0.001,0.9
17,0.0023742285557091236,0.0023742285557091236,0.0003512437472916762,0.001,0.9
18,0.002315961290150881,0.002315961290150881,0.00032484903215710667,0.001,0.9
19,0.002303552348166704,0.002303552348166704,0.0003397626111780104,0.001,0.9
20,0.0020457287319004536,0.0020457287319004536,0.00025223066588510665,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.023084230720996857,0.023084230720996857,0.04630474942999701,0.001,0.9
2,0.005228222347795963,0.005228222347795963,0.001080335551134508,0.001,0.9
3,0.0037679949309676886,0.0037679949309676886,0.0007038582634565664,0.001,0.9
4,0.002720706630498171,0.002720706630498171,0.0004522259269829948,0.001,0.9
5,0.002370489528402686,0.002370489528402686,0.0004637209313559689,0.001,0.9
6,0.002101891441270709,0.002101891441270709,0.00034509817921652363,0.001,0.9
7,0.0018030958017334342,0.0018030958017334342,0.00026621732491588534,0.001,0.9
8,0.0016371819656342268,0.0016371819656342268,0.00034035324315565994,0.001,0.9
9,0.0014955353690311313,0.0014955353690311313,0.00024712960847641364,0.001,0.9
10,0.00144042051397264,0.00144042051397264,0.00023280212373762266,0.001,0.9
11,0.0013309838250279427,0.0013309838250279427,0.00024630001000101057,0.001,0.9
12,0.0012351053301244974,0.0012351053301244974,0.00019666146590431233,0.001,0.9
13,0.0011653748806566,0.0011653748806566,0.00018262806018049007,0.001,0.9
14,0.0011039511300623417,0.0011039511300623417,0.0001859316593730567,0.001,0.9
15,0.0010497511830180883,0.0010497511830180883,0.00018309752227919907,0.001,0.9
16,0.0009990065591409802,0.0009990065591409802,0.00015895218468174818,0.001,0.9
17,0.0010128923458978534,0.0010128923458978534,0.000185557929155254,0.001,0.9
18,0.0008884052513167262,0.0008884052513167262,0.00013721585476011994,0.001,0.9
19,0.00087618303950876,0.00087618303950876,0.00014043953299089357,0.001,0.9
20,0.0008745749364607036,0.0008745749364607036,0.0001505245267298024,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.023779382929205894,0.023779382929205894,0.046229139384640024,0.001,0.9
2,0.005461668595671654,0.005461668595671654,0.0011248247607615228,0.001,0.9
3,0.003737948602065444,0.003737948602065444,0.000592018734362355,0.001,0.9
4,0.0030360573437064886,0.0030360573437064886,0.0005467242195239825,0.001,0.9
5,0.002551201730966568,0.002551201730966568,0.0004338862077518054,0.001,0.9
6,0.0021743164397776127,0.0021743164397776127,0.0003974516104656075,0.001,0.9
7,0.0018927623750641942,0.0018927623750641942,0.00033949663287305935,0.001,0.9
8,0.0017680908786132932,0.0017680908786132932,0.0002849708931957135,0.001,0.9
9,0.0016051244456321,0.0016051244456321,0.0002790460744510491,0.001,0.9
10,0.0015055460389703512,0.0015055460389703512,0.0002533956258387102,0.001,0.9
11,0.001427027746103704,0.001427027746103704,0.00023232253750958562,0.001,0.9
12,0.001251610112376511,0.001251610112376511,0.000209397611682128,0.001,0.9
13,0.0011963951401412487,0.0011963951401412487,0.0001865476936382029,0.001,0.9
14,0.0011477512307465076,0.0011477512307465076,0.00017524538620989033,0.001,0.9
15,0.001149205258116126,0.001149205258116126,0.0002032115046646188,0.001,0.9
16,0.0010680926498025656,0.0010680926498025656,0.0001979688243472505,0.001,0.9
17,0.0009846314787864685,0.0009846314787864685,0.0001423816278602919,0.001,0.9
18,0.0009206954855471849,0.0009206954855471849,0.00016369912757692115,0.001,0.9
19,0.0009494145633652806,0.0009494145633652806,0.00015307901376735147,0.001,0.9
20,0.0008679447346366942,0.0008679447346366942,0.00014813065862053727,0.001,0.9
